date,cmc_rank,slug,symbol,market_cap,price,circulating_supply,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d
2/02/2014,1,    Bitcoin,        BTC,10190038594,825.37,12346025,11300875,-0.03,-1.25,-6.75
3/02/2014,1,    Bitcoin,        BTC,10174774413,823.83,12350575,13940069,0.09,-0.11,4.26
4/02/2014,1,    Bitcoin,        BTC,10229342576,827.96,12354875,16609697,-0.13,0.56,1.1
5/02/2014,1,    Bitcoin,        BTC,10034435954,811.91,12359050,22395116,-1.47,-2.08,-1.59
6/02/2014,1,   Bitcoin,       BTC,9662790968,781.55,12363625,50108744,0.07,-4.19,-4.68
7/02/2014,1,   Bitcoin,       BTC,8810607302,712.4,12367500,113642776,-1.53,-8.69,-13.96
8/02/2014,1,   Bitcoin,       BTC,8337738029,673.92,12372000,38742624,0.82,-5.16,-19.57
9/02/2014,1,   Bitcoin,       BTC,8451229252,682.9,12375500,39311440,-0.06,1.9,-17.3
10/02/2014,1,   Bitcoin,       BTC,8430743145,681.03,12379400,112757696,1.87,-0.74,-17.31
11/02/2014,1,   Bitcoin,       BTC,8323816983,672.17,12383500,72745200,2.73,-0.89,-19.11
12/02/2014,1,   Bitcoin,       BTC,8073458118,651.72,12387925,25367608,-1.31,-1.88,-20.04
13/02/2014,1,   Bitcoin,       BTC,7500376055,605.24,12392400,38588076,-1.4,-7.78,-21.75
14/02/2014,1,   Bitcoin,       BTC,8206805757,661.99,12397175,102506472,-0.1,9.13,-7.44
15/02/2014,1,   Bitcoin,       BTC,8072579444,650.92,12401800,26709220,-0.28,-1.39,-3.94
16/02/2014,1,   Bitcoin,       BTC,7650358897,616.63,12406725,40061716,2.62,-5.35,-10.93
17/02/2014,1,   Bitcoin,       BTC,7772386704,626.27,12410600,31948432,-0.14,2.38,-8.21
18/02/2014,1,   Bitcoin,       BTC,7779035052,626.6,12414675,20015090,0.55,-0.24,-4.73
19/02/2014,1,   Bitcoin,       BTC,7737830479,623.03,12419675,13897837,0.07,-0.26,-5.26
20/02/2014,1,   Bitcoin,       BTC,6909539156,556.14,12424100,46905016,-1.71,-10.84,-7.78
21/02/2014,1,   Bitcoin,       BTC,7135602730,574.16,12427900,47308136,1.54,3.36,-12.18
22/02/2014,1,   Bitcoin,       BTC,7526808260,605.42,12432375,31253990,0.96,5.92,-7.25
23/02/2014,1,   Bitcoin,       BTC,7534325958,605.82,12436575,31434376,-0.72,0.6,-0.56
24/02/2014,1,   Bitcoin,       BTC,6796972081,546.32,12441375,57893900,0.04,-9.99,-13.66
25/02/2014,1,   Bitcoin,       BTC,6704461707,538.71,12445400,126314008,1.18,0.16,-13.58
26/02/2014,1,   Bitcoin,       BTC,7254505098,582.69,12450025,64642724,-0.22,8.19,-6.92
27/02/2014,1,   Bitcoin,       BTC,7208406962,578.77,12454700,25540830,-0.37,-1.08,3.42
28/02/2014,1,   Bitcoin,       BTC,6843354045,549.26,12459225,28076112,-1.05,-5.41,-3.14
1/03/2014,1,    Bitcoin,        BTC,7049084125,565.61,12462800,18668122,-0.58,3.14,-6.34
2/03/2014,1,   Bitcoin,       BTC,6978523798,559.79,12466325,7950765,0.83,-1.35,-6.82
3/03/2014,1,   Bitcoin,       BTC,8326933934,667.76,12469950,96056888,1.01,19.2,26.43
4/03/2014,1,   Bitcoin,       BTC,8317230721,666.78,12473725,55344600,0.22,0.12,23.5
5/03/2014,1,   Bitcoin,       BTC,8304000973,665.51,12477650,22461934,0.45,-0.47,14.54
6/03/2014,1,   Bitcoin,       BTC,8286267144,663.86,12481950,16068140,0.68,-0.14,14.77
7/03/2014,1,   Bitcoin,       BTC,7855630120,629.15,12486100,34150828,0.17,-4.97,13.08
8/03/2014,1,    Bitcoin,        BTC,7712151324,617.45,12490325,18654170,-0.18,-1.87,8.81
